ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2470651-20190416,2651644,405932,1,LABBAIK INC.,THE LAKESHORE PANTRY,3130 N LAKE SHORE DR 1ST,CHICAGO,IL,60657,44,35,44-35,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,2470651,RENEW,,02/22/2019,04/05/2019,N,04/16/2019,05/15/2020,04/05/2019,04/08/2019,AAI,,,41.938579324,-87.637903131,POINT (-87.63790313086152 41.93857932428354)
2476670-20190916,2680016,272588,3,"BENNETT & BENNETT, SPECIAL WINES INC.",PERMAN WINE SELECTIONS,1167 N HOWE ST 1ST,CHICAGO,IL,60610,27,12,27-12,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,2476670,RENEW,,07/15/2019,08/13/2019,N,09/16/2019,05/15/2020,08/13/2019,08/14/2019,AAI,,,41.903391214,-87.644324254,POINT (-87.6443242536081 41.90339121438283)
2004363-20190216,2637414,147,50,WALGREEN CO.,WALGREEN #03948,5140 W DIVERSEY AVE  1,CHICAGO,IL,60639,31,50,31-50,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,2004363,RENEW,,12/15/2018,02/05/2019,N,02/16/2019,05/15/2020,02/05/2019,02/05/2019,AAI,,,41.931520623,-87.755612992,POINT (-87.75561299208617 41.931520622962296)
2506282-20190616,2662893,408741,1,JAIVEER CORPORATE INC.,LOS HERMANOS FOOD & LIQUOR,4101-4103 W 47TH ST 1,CHICAGO,IL,60632,14,28,14-28,8,1474,Package Goods,774,Retail Sales of Packaged Liquor,2506282,RENEW,,04/15/2019,05/14/2019,N,06/16/2019,08/15/2020,05/14/2019,05/15/2019,AAI,,,41.807730408,-87.726090494,POINT (-87.7260904940538 41.807730408101726)
2492551-20190416,2649135,221952,2,"USMAN ALI ENTERPRISES,  INC.",7-ELEVEN #37622B,4 W JACKSON BLVD 1,CHICAGO,IL,60604,34,9,34-9,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2492551,RENEW,,02/22/2019,04/11/2019,N,04/16/2019,09/15/2020,04/11/2019,04/11/2019,AAI,,1,41.878286156,-87.627804466,POINT (-87.62780446623054 41.87828615621557)
2600371-20200714,2600371,299710,98,"HIGHLAND PARK CVS, L.L.C.",CVS/PHARMACY #10942,310 S MICHIGAN AVE 1,CHICAGO,IL,60604,34,33,34-33,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2600371,ISSUE,05/15/2018,09/11/2018,08/31/2018,Y,07/14/2020,10/15/2020,10/12/2018,10/12/2018,AAI,,,41.877987807,-87.624459801,POINT (-87.62445980070322 41.8779878069696)
2569409-20200216,2707725,388096,4,"GOBBLE DOGGS, LLC",GOBBLE DOGGS,440 S LA SALLE ST 1ST,CHICAGO,IL,60605,34,49,34-49,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2569409,RENEW,,12/15/2019,01/23/2020,N,02/16/2020,10/15/2020,01/23/2020,03/27/2020,AAI,,,41.87588847,-87.631884721,POINT (-87.63188472119873 41.87588847004054)
2569979-20200516,2720962,311660,1,DANIEL GROCERY INC.,DANIEL GROCERY,3101 W IRVING PARK RD 1 F,CHICAGO,IL,60618,33,6,33-6,17,1474,Package Goods,774,Retail Sales of Packaged Liquor,2569979,RENEW,,03/15/2020,04/29/2020,N,05/16/2020,12/15/2020,04/29/2020,05/01/2020,AAI,,60,41.953825421,-87.705634137,POINT (-87.70563413726975 41.95382542137118)
2535486-20190816,2675154,374478,2,"DESIGN SEEDLING, INC.",LOCAL GOODS CHICAGO,5422 W DEVON AVE 1ST,CHICAGO,IL,60646,45,44,45-44,16,1474,Package Goods,774,Retail Sales of Packaged Liquor,2535486,RENEW,,06/15/2019,07/29/2019,N,08/16/2019,12/15/2020,07/29/2019,07/30/2019,AAC,08/21/2020,,41.997439191,-87.764707813,POINT (-87.76470781345472 41.99743919113834)
39740-20190116,2633378,15854,1,S & L FOOD & LIQUORS INC,S & L FOOD & LIQUORS INC,4958 W FULLERTON AVE 1ST,CHICAGO,IL,60639,31,21,31-21,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,39740,RENEW,,11/15/2018,12/24/2018,N,01/16/2019,01/15/2021,12/24/2018,12/26/2018,AAI,,,41.924285888,-87.751105734,POINT (-87.75110573368215 41.924285888333095)
2359659-20190116,2635605,393920,1,"KHOKHAR ENTERPRISES, INC.",7-ELEVEN #33758 C,2421 W 103RD ST 1,CHICAGO,IL,60655,19,61,19-61,22,1474,Package Goods,774,Retail Sales of Packaged Liquor,2359659,RENEW,,11/15/2018,12/19/2018,N,01/16/2019,01/15/2021,12/19/2018,01/04/2019,AAI,,20,41.706267847,-87.68256824,POINT (-87.68256823964518 41.706267847376395)
41519-20190116,2633381,16103,1,"ARMITAGE GOLD STAR LIQUOR, INC.",ARMITAGE GOLD STAR LIQUORS,4800 W ARMITAGE AVE 1,CHICAGO,IL,60639,26,12,26-12,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,41519,RENEW,,11/15/2018,01/23/2019,N,01/16/2019,01/15/2021,01/23/2019,01/23/2019,AAC,05/31/2019,,41.917041992,-87.746176095,POINT (-87.74617609464687 41.91704199201953)
2511343-20190616,2661163,303471,14,WALMART INC.,WALMART NEIGHBORHOOD MARKET #3110,7535 S ASHLAND AVE 1ST,CHICAGO,IL,60620,17,29,17-29,6,1474,Package Goods,774,Retail Sales of Packaged Liquor,2511343,RENEW,,04/15/2019,04/24/2019,N,06/16/2019,01/15/2021,04/24/2019,05/30/2019,AAI,,,41.756545414,-87.663443853,POINT (-87.6634438528519 41.75654541412582)
1131-20190116,2632350,215,1,"INTERNATIONAL FOODS N - W, INC.","INTERNATIONAL FOODS N - W, INC.",4404 W FULLERTON AVE 1,CHICAGO,IL,60639,31,1,31-1,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,1131,RENEW,,11/15/2018,12/07/2018,N,01/16/2019,01/15/2021,12/07/2018,12/10/2018,AAI,,,41.924472636,-87.736789505,POINT (-87.73678950499337 41.92447263555395)
8180-20190116,2633273,4010,1,PERSONAL LIQUORS COMPANY II,PERSONAL LIQUORS II,5558 W NORTH AVE 1,CHICAGO,IL,60639,37,24,37-24,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,8180,RENEW,,11/15/2018,01/15/2019,N,01/16/2019,01/15/2021,01/15/2019,01/15/2019,AAI,,,41.909490053,-87.765576615,POINT (-87.76557661503037 41.90949005306579)
2636305-20190114,2636305,431993,1,"RBB FOODS, INC.",LUCKY GROCERIES,4200 W ARMITAGE AVE 1,CHICAGO,IL,60639,35,12,35-12,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,2636305,ISSUE,11/19/2018,12/19/2018,12/06/2018,N,01/14/2019,01/15/2021,01/14/2019,01/14/2019,AAI,,,41.917212297,-87.731510919,POINT (-87.73151091917421 41.91721229711406)
2355074-20190116,2635599,393286,1,P & J ENTERPRISES LLC,LIQUOR PARK,1937 W NORTH AVE,CHICAGO,IL,60622,1,8,1-8,14,1474,Package Goods,774,Retail Sales of Packaged Liquor,2355074,RENEW,,11/15/2018,11/25/2018,N,01/16/2019,01/15/2021,11/25/2018,02/26/2019,AAI,,33,41.910391188,-87.676572539,POINT (-87.67657253927491 41.91039118774778)
1119637-20190116,2634535,209419,1,"N.W. FOOD & LIQUOR, INC.",NORTHWEST FOOD & LIQUOR,5170 - 5174 W NORTH AVE,CHICAGO,IL,60639,37,22,37-22,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,1119637,RENEW,,11/15/2018,01/28/2019,N,01/16/2019,01/15/2021,01/28/2019,01/29/2019,AAI,,,41.909614895,-87.755477968,POINT (-87.75547796793691 41.90961489519426)
2185324-20190116,2635452,375593,1,"SOPHIA BAWANI, INC.",7 ELEVEN #36033A,801 S STATE ST,CHICAGO,IL,60605,4,58,4-58,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2185324,RENEW,,11/15/2018,12/26/2018,N,01/16/2019,01/15/2021,12/26/2018,12/27/2018,AAI,,,41.871745465,-87.627377032,POINT (-87.62737703185378 41.87174546458985)
34735-20190116,2633576,32666,1,"KODRA LIQUORS, INC.",DJ WINE & SPIRITS,6109 - 6111 W DIVERSEY AVE 1ST,CHICAGO,IL,60639,30,30,30-30,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,34735,RENEW,,11/15/2018,01/03/2019,N,01/16/2019,01/15/2021,01/03/2019,01/04/2019,AAI,,,41.930989258,-87.778764754,POINT (-87.77876475391976 41.930989257573195)
2446684-20190116,2634917,303471,13,WALMART INC.,WALMART #5617,4626 W DIVERSEY AVE,CHICAGO,IL,60639,31,30,31-30,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,2446684,RENEW,,11/15/2018,12/24/2018,N,01/16/2019,01/15/2021,12/24/2018,01/09/2019,AAI,,,41.931688919,-87.743016947,POINT (-87.74301694683085 41.931688919351)
1493841-20190116,2634755,277375,1,"''5659 W. DIVERSEY, INC.''",5659 W. DIVERSEY,5659 W DIVERSEY AVE,CHICAGO,IL,60639,30,34,30-34,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,1493841,RENEW,,11/15/2018,11/28/2018,N,01/16/2019,01/15/2021,11/28/2018,11/29/2018,AAI,,,41.931135403,-87.768612131,POINT (-87.76861213063502 41.93113540348285)
42525-20190116,2633384,16204,1,FAMILY PANTRY INC,OPEN PANTRY,10657 S PULASKI RD 1ST,CHICAGO,IL,60655,19,16,19-16,22,1474,Package Goods,774,Retail Sales of Packaged Liquor,42525,RENEW,,11/15/2018,12/14/2018,N,01/16/2019,01/15/2021,12/14/2018,12/20/2018,AAI,,,41.698675241,-87.720494855,POINT (-87.72049485543255 41.69867524086993)
1597199-20190116,2634844,292263,1,"RJ LIQUORS, INC.",RJ LIQUORS,5640 W FULLERTON AVE,CHICAGO,IL,60639,30,17,30-17,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,1597199,RENEW,,11/15/2018,12/04/2018,N,01/16/2019,01/15/2021,12/04/2018,12/05/2018,AAI,,,41.924064416,-87.767660486,POINT (-87.76766048637344 41.92406441637916)
1844847-20190116,2635016,321105,1,J7 CORPORATION,7-ELEVEN #33920A,3152 W 111TH ST,CHICAGO,IL,60655,19,52,19-52,22,1474,Package Goods,774,Retail Sales of Packaged Liquor,1844847,RENEW,,11/15/2018,12/18/2018,N,01/16/2019,01/15/2021,12/18/2018,12/19/2018,AAI,,55,41.691680749,-87.700516175,POINT (-87.70051617452317 41.69168074856247)
2463316-20190416,2651643,405760,1,NORWOOD PARK WINE & SPIRITS INC.,NORWOOD PARK WINE & SPIRITS,6056 N NORTHWEST HWY 1ST,CHICAGO,IL,60631,41,22,41-22,16,1474,Package Goods,774,Retail Sales of Packaged Liquor,2463316,RENEW,,02/22/2019,03/12/2019,N,04/16/2019,01/15/2021,03/12/2019,03/13/2019,AAI,,,41.991304101,-87.797504804,POINT (-87.79750480390851 41.99130410059285)
2360058-20190116,2635610,394081,1,"SAMIL, INC.",ONE STOP MARKET,3456 S WESTERN AVE 1,CHICAGO,IL,60608,12,13,12-13,9,1474,Package Goods,774,Retail Sales of Packaged Liquor,2360058,RENEW,,11/15/2018,01/08/2019,N,01/16/2019,01/15/2021,01/08/2019,01/08/2019,AAI,,,41.830324216,-87.685182334,POINT (-87.68518233355891 41.83032421612542)
9048-20190116,2633276,4213,1,"ZAID CERTIFIED LIQUORS, INC.",ZIAD CERTIFIED FOODS,513 E 47TH ST 1,CHICAGO,IL,60653,3,30,3-30,2,1474,Package Goods,774,Retail Sales of Packaged Liquor,9048,RENEW,,11/15/2018,01/04/2019,N,01/16/2019,01/15/2021,01/04/2019,01/18/2019,AAI,,56,41.80932287,-87.613335521,POINT (-87.61333552121958 41.80932287011908)
30044-20190116,2633353,11998,1,ABH FOOD & LIQUOR INC.,ABH FOOD & LIQUOR INC,5345 W NORTH AVE 1,CHICAGO,IL,60639,37,6,37-6,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,30044,RENEW,,11/15/2018,01/22/2019,N,01/16/2019,01/15/2021,01/22/2019,01/22/2019,AAI,,,41.909338965,-87.759794867,POINT (-87.75979486719923 41.90933896530053)
2451596-20190216,2640354,377766,1,"SYED ENTERPRISE, INC.",SHAH MINI MART,4234 W FULLERTON AVE 1ST,CHICAGO,IL,60639,31,10,31-10,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,2451596,RENEW,,12/15/2018,02/02/2019,N,02/16/2019,02/15/2021,02/02/2019,02/04/2019,AAI,,,41.92451849,-87.733112515,POINT (-87.73311251466045 41.924518490422905)
2631272-20190116,2631272,410272,8,AMAZON RETAIL LLC,AMAZON GO,111 E WACKER DR 1,CHICAGO,IL,60601,42,40,42-40,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2631272,ISSUE,10/24/2018,12/27/2018,11/19/2018,Y,01/16/2019,02/15/2021,01/16/2019,01/16/2019,AAI,,,41.888079426,-87.62404737,POINT (-87.62404736976374 41.88807942610461)
2192587-20190216,2640297,376152,1,WESTERN FINE FOOD & LIQUOR INC.,"ANGEL FOOD, WINE & SPIRIT",919-925 W 57TH ST 1,CHICAGO,IL,60621,16,36,16-36,7,1474,Package Goods,774,Retail Sales of Packaged Liquor,2192587,RENEW,,12/15/2018,02/07/2019,N,02/16/2019,02/15/2021,02/07/2019,02/15/2019,AAC,10/09/2020,,41.790509033,-87.648370737,POINT (-87.64837073729825 41.79050903335686)
2398730-20190216,2638819,301699,1,"PAULINA MARKET, INC.",PAULINA MARKET,3501 N LINCOLN AVE,CHICAGO,IL,60657,47,22,47-22,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,2398730,RENEW,,12/15/2018,01/17/2019,N,02/16/2019,02/15/2021,01/17/2019,01/28/2019,AAI,,27,41.945254158,-87.672389793,POINT (-87.67238979319875 41.94525415835947)
2451370-20190316,2645545,404143,1,OM 3755 CORP.,LAKESIDE MARKET,801 W IRVING PARK RD 1ST,CHICAGO,IL,60613,46,5,46-5,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,2451370,RENEW,,01/15/2019,02/11/2019,N,03/16/2019,02/15/2021,02/11/2019,02/13/2019,AAI,,18,41.954450658,-87.649737336,POINT (-87.64973733578533 41.954450657937436)
2563507-20200416,2716951,411007,2,"GOBRANDS, INC",goPuff,1525 W HOMER ST 1 101,CHICAGO,IL,60642,32,,32-,14,1474,Package Goods,774,Retail Sales of Packaged Liquor,2563507,RENEW,,02/15/2020,02/21/2020,N,04/16/2020,02/15/2021,02/21/2020,02/24/2020,AAI,,,41.917539332,-87.666015931,POINT (-87.66601593118759 41.91753933245386)
1516173-20190216,2638682,279935,1,"J & K FOOD & LIQUOR, INC.",J & K FOOD & LIQUOR,6320 N WESTERN AVE 1,CHICAGO,IL,60659,50,30,50-30,24,1474,Package Goods,774,Retail Sales of Packaged Liquor,1516173,RENEW,,12/15/2018,01/31/2019,N,02/16/2019,02/15/2021,01/31/2019,02/27/2019,AAI,,43,41.996563992,-87.689992068,POINT (-87.689992067694 41.996563992365836)
1495747-20190216,2638357,213367,1,"CITY FRESH MARKET, INC.",CITY FRESH MARKET,3201 W DEVON AVE,CHICAGO,IL,60659,50,39,50-39,24,1474,Package Goods,774,Retail Sales of Packaged Liquor,1495747,RENEW,,12/15/2018,02/11/2019,N,02/16/2019,02/15/2021,02/11/2019,02/27/2019,AAI,,,41.997278474,-87.709407357,POINT (-87.70940735717784 41.9972784744174)
2390718-20190316,2645285,394484,1,"KEVIN GROCERY & LIQUOR, LTD.","KEVIN GROCERY & LIQUOR, LTD.",2700 W 47TH ST 1,CHICAGO,IL,60632,12,4,12-4,9,1474,Package Goods,774,Retail Sales of Packaged Liquor,2390718,RENEW,,01/15/2019,03/05/2019,N,03/16/2019,03/15/2021,03/05/2019,03/05/2019,AAC,05/14/2019,,41.808429081,-87.691827623,POINT (-87.691827623245 41.808429081452026)
1902-20190416,2648705,62541,1,AARAY ENTERPRISES LIMITED,AARAY GROCERY,2601 N HALSTED ST 1ST,CHICAGO,IL,60614,43,6,43-6,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,1902,RENEW,,02/22/2019,03/19/2019,N,04/16/2019,04/15/2021,03/19/2019,03/20/2019,AAC,02/27/2020,,41.929209817,-87.648746265,POINT (-87.64874626496409 41.92920981700697)
2069641-20190416,2650242,337571,1,KOVAL INC.,KOVAL INC.,5121 N RAVENSWOOD AVE,CHICAGO,IL,60640,40,30,40-30,20,1474,Package Goods,774,Retail Sales of Packaged Liquor,2069641,RENEW,,02/22/2019,04/23/2019,N,04/16/2019,04/15/2021,03/25/2019,03/26/2019,AAC,01/13/2021,,41.974954203,-87.67423144,POINT (-87.67423144001694 41.97495420326412)
46029-20190516,2654234,64366,1,"ASA CONSOLIDATED, INC.",TOM'S FOOD & LIQUOR,5201 W LAKE ST 1ST,CHICAGO,IL,60644,37,11,37-11,15,1474,Package Goods,774,Retail Sales of Packaged Liquor,46029,RENEW,,03/15/2019,05/07/2019,N,05/16/2019,05/15/2021,05/07/2019,05/08/2019,AAI,,,41.887095151,-87.755389249,POINT (-87.7553892485105 41.88709515133673)
2636681-20190508,2636681,431767,1,HARMONY PALACE INC.,HARMONY PALACE,2402 S WENTWORTH AVE 1,CHICAGO,IL,60616,11,6,11-6,9,1474,Package Goods,774,Retail Sales of Packaged Liquor,2636681,ISSUE,11/29/2018,03/06/2019,02/27/2019,N,05/08/2019,05/15/2021,05/08/2019,05/08/2019,AAI,,,41.849052379,-87.632076919,POINT (-87.63207691880118 41.84905237872757)
2647294-20190503,2647294,456413,1,"GB LICENSE, LLC",GOPUFF,1347 S ASHLAND AVE 1,CHICAGO,IL,60608,28,5,28-5,12,1474,Package Goods,774,Retail Sales of Packaged Liquor,2647294,ISSUE,02/11/2019,04/03/2019,03/05/2019,Y,05/03/2019,05/15/2021,05/03/2019,05/03/2019,AAI,,,41.863691227,-87.666158506,POINT (-87.66615850597972 41.863691227493106)
24290-20190516,2653646,9833,1,WINDY CITY INC,WINDY CITY INC,324-326 S CICERO AVE,CHICAGO,IL,60644,28,16,28-16,15,1474,Package Goods,774,Retail Sales of Packaged Liquor,24290,RENEW,,03/15/2019,05/02/2019,N,05/16/2019,05/15/2021,05/02/2019,05/15/2019,AAI,,,41.875944355,-87.745250228,POINT (-87.74525022754239 41.875944355445164)
2137664-20190516,2655933,369402,1,LAST BAY BEER COMPANY LLC,DRYHOP BREWERS,3155 N BROADWAY  1,CHICAGO,IL,60657,44,28,44-28,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,2137664,RENEW,,03/15/2019,04/25/2019,N,05/16/2019,05/15/2021,04/25/2019,04/26/2019,AAC,08/30/2019,8,41.939309677,-87.644228371,POINT (-87.64422837055051 41.939309677466014)
1000-20190516,2653930,24139,1,600 SOUTH CICERO INC,BELMONTE LIQUORS,600 S CICERO AVE 1ST,CHICAGO,IL,60644,29,46,29-46,15,1474,Package Goods,774,Retail Sales of Packaged Liquor,1000,RENEW,,03/15/2019,04/06/2019,N,05/16/2019,05/15/2021,04/06/2019,04/08/2019,AAI,,,41.873094833,-87.745143869,POINT (-87.74514386884542 41.873094832519136)
2630763-20190509,2630763,432094,1,BEERSHOP 2 LLC,DRINK SHOP,2513 W ARMITAGE AVE 1,CHICAGO,IL,60647,1,29,1-29,14,1474,Package Goods,774,Retail Sales of Packaged Liquor,2630763,ISSUE,10/16/2018,11/21/2018,12/20/2018,Y,05/09/2019,05/15/2021,05/09/2019,05/09/2019,AAC,07/09/2020,,41.917439166,-87.690474891,POINT (-87.69047489099341 41.917439165597116)
2157593-20190516,2653801,20325,2,BUSH FOOD MART INC,BUSH FOOD MART,757 N CICERO AVE 1ST,CHICAGO,IL,60644,28,51,28-51,11,1474,Package Goods,774,Retail Sales of Packaged Liquor,2157593,RENEW,,03/15/2019,05/21/2019,N,05/16/2019,05/15/2021,05/21/2019,05/30/2019,AAI,,,41.894893278,-87.745656913,POINT (-87.74565691311744 41.89489327796882)
2617199-20190419,2617199,416387,1,SHRUMI INC.,MILLENNIAL MART,848 N ORLEANS ST 1,CHICAGO,IL,60610,2,48,2-48,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,2617199,ISSUE,08/08/2018,03/20/2019,03/14/2019,N,04/19/2019,05/15/2021,04/19/2019,04/19/2019,AAI,,,41.89812004,-87.63737677,POINT (-87.63737677022044 41.89812004046833)
2637085-20190514,2637085,454856,1,"KEVIN FOOD AND LIQUOR, LLC",KEVIN FOOD & LIQUOR,2700 W 47TH ST 1,CHICAGO,IL,60632,12,8,12-8,9,1474,Package Goods,774,Retail Sales of Packaged Liquor,2637085,ISSUE,12/07/2018,03/11/2019,02/21/2019,N,05/14/2019,05/15/2021,05/14/2019,05/14/2019,AAI,,,41.808429081,-87.691827623,POINT (-87.691827623245 41.808429081452026)
39979-20190616,2659580,10046,1,"SUPERMERCADO EL GUERO NO.10, INC.",SUPERMERCADO EL GUERO #10 INC,4023 S ARCHER AVE 1,CHICAGO,IL,60632,12,13,12-13,9,1474,Package Goods,774,Retail Sales of Packaged Liquor,39979,RENEW,,04/15/2019,05/24/2019,N,06/16/2019,06/15/2021,05/24/2019,10/28/2019,AAI,,,41.820583041,-87.693426166,POINT (-87.69342616596236 41.82058304065872)
